1,shrimp,almonds,avocado,vegetables mix,,,,,,,,,
21,mineral water,,,,,,,,,,,,
21,shrimp,mineral water,soup,black tea,,,,,,,,,
21,cake,frozen smoothie,,,,,,,,,,,
21,turkey,burgers,grated cheese,tomatoes,,,,,,,,,
21,frozen vegetables,ground beef,mineral water,olive oil,,,,,,,,,
21,turkey,burgers,ground beef,milk,,,,,,,,,
22,whole wheat pasta,ground beef,spaghetti,yams,,,,,,,,,
22,eggs,whole wheat rice,cake,green tea,,,,,,,,,
22,ground beef,yams,soup,avocado,,,,,,,,,
22,milk,,,,,,,,,,,,
22,spaghetti,chocolate,,,,,,,,,,,
22,whole wheat pasta,honey,,,,,,,,,,,
22,whole wheat pasta,green tea,,,,,,,,,,,
22,spaghetti,meatballs,vegetables mix,chocolate,,,,,,,,,
22,eggs,low fat yogurt,,,,,,,,,,,
22,fresh tuna,shrimp,pasta,mineral water,,,,,,,,,
22,mineral water,green grapes,hot dogs,fresh bread,,,,,,,,,
22,frozen vegetables,meatballs,eggs,chocolate,,,,,,,,,
22,chocolate,,,,,,,,,,,,
22,meatballs,milk,,,,,,,,,,,fresh bread
22,low fat yogurt,,,,,,,,,,,,
22,green tea,,,,,,,,,,,,
23,escalope,pasta,,,,,,,,,,,
23,pepper,chocolate,olive oil,french wine,,,,,,,,,
23,red wine,french wine,vegetables mix,rice,,,,,,,,,
24,burgers,dessert wine,spaghetti,chicken,,,,,,,,,
24,french wine,cake,fresh bread,,,,,,,,,,
24,burgers,frozen vegetables,flax seed,eggs,,,,,,,,,
25,grated cheese,shrimp,pasta,tomatoes,,,,,,,,,
25,herb & pepper,whole wheat pasta,olive oil,pancakes,,,,,,,,,
25,spaghetti,antioxydant juice,,,,,,,,,,,
25,chocolate,milk,almonds,eggs,,,,,,,,,
25,french fries,strawberries,,,,,,,,,,,
25,mineral water,,,,,,,,,,,,
26,eggs,,,,,,,,,,,,
26,escalope,,,,,,,,,,,,
26,cake,,,,,,,,,,,,
26,whole wheat pasta,antioxydant juice,body spray,green tea,,,,,,,,,
26,mineral water,oil,frozen smoothie,,,,,,,,,,
26,french fries,champagne,,,,,,,,,,,
26,chocolate,french fries,,,,,,,,,,,
27,herb & pepper,ground beef,spaghetti,eggs,,,,,,,,,
27,grated cheese,muffins,tomato juice,mayonnaise,,,,,,,,,
27,whole wheat pasta,yams,mineral water,muffins,,,,,,,,,
27,burgers,spaghetti,soup,milk,,,,,,,,,
28,chocolate,champagne,magazines,,,,,,,,,,
28,frozen vegetables,spaghetti,yams,mineral water,,,,,,,,,
28,tomato sauce,chocolate,,,,,,,,,,,
28,milk,eggs,,,,,,,,,,,
29,pet food,,,,,,,,,,,,
29,yogurt cake,,,,,,,,,,,,
29,green tea,,,,,,,,,,,,
29,escalope,pasta,,,,,,,,,,,
29,herb & pepper,ground beef,,,,,,,,,,,
29,mineral water,honey,brownies,,,,,,,,,,
29,turkey,eggs,cake,energy drink,,,,,,,,,
29,turkey,burgers,dessert wine,ground beef,,,,,,,,,
29,spaghetti,mineral water,chicken,,,,,,,,,,
29,turkey,ground beef,carrots,french fries,,,,,,,,,
30,fresh tuna,barbecue sauce,eggplant,,,,,,,,,,
30,energy drink,,,,,,,,,,,,
30,whole wheat rice,french fries,hot dogs,green tea,,,,,,,,,
30,mineral water,chicken,green tea,,,,,,,,,,
30,eggs,cake,mushroom cream sauce,,,,,,,,,,
30,escalope,,,,,,,,,,,,
30,antioxydant juice,escalope,,,,,,,,,,,
30,shrimp,spaghetti,french fries,,,,,,,,,,
